screenName,name,bio,followersCount,friendsCount,tweetsCount
SakshiTamshetti,Sakshi Tamshetti,"𝐸𝓍𝓅𝓁𝑜𝓇𝒾𝓃𝑔 𝓂𝓎 𝓉𝒾𝓃𝓎 𝓁𝒾𝒻𝑒❀

𝐿𝑒𝒶𝓋𝒾𝓃𝑔 𝒶 𝒷𝒾𝓉 𝑜𝒻 𝓈𝓅𝒶𝓇𝓀𝓁𝑒 𝑒𝓋𝑒𝓇𝓎𝓌𝒽𝑒𝓇𝑒 𝐼 𝑔𝑜★",5,15,2
ShivamT50796733,Shivam,,0,8,7
shrikantpawar03,Shríkant pawar,A passionate web developer,3,81,0
me_Abhishek01,Abhishek Kumar,"2nd yr https://t.co/gb7Cyqthko (CSE) student |
Insta - https://t.co/qVqv2zS807",0,29,2
Shruti_Anand20,Shruti Anand,,0,65,5
RehamathunnisaA,Rehamathunnisa Ali,,1,25,0
SDileeban2,திலீபன்,🤩,109,1716,562
ANYAMPAVANKUMA1,PAVANKUMAR,,8,52,4271
P_Kaushal9712,Prashant kaushal,DSA | JAVA | WEB DEV,20,120,127
bigblz_blaze,Bhabartha Prakash Gogoi,,0,14,32
YKondkari49706,Yusuf Kondkari,,15,52,0
invarr0w,Abdul Rahman ArM🌌,"⚙️Learner by heart, chills with Art 👾 Working on robos and Building @Vistech4all",14,143,178
Shobhits_IITK,Shobhits,"Research Scholar @ IIT Kanpur | Exploring Geospatial, drone tech, ML  in River science research | Join me on this scientific journey !🌍💡",373,1406,322
RishiRaamNS,Rishi,Documenting my journey to $10k/month as a Solopreneur through Design and Copywriting.,8,62,111
vinayak_mapari,Vinayak Mapari,"On a quest to conquer the gaming world, one level at a time.  Pursuing pro status in my own way. Join me as I write my own gaming story!  #SoftwareDeveloper",20,254,69
heyares06,El_Ares,Born innocent...Become imperfect...and Now immoral...!!!,0,6,19
MukeshKuiry7,Mukesh Kuiry⚡️,Building @useFreeflow 🧭 | Ex - Software Developer @unsnarl_secure ✨ | Building @by_clueless 🚀 | Exploring DevOps and Cloud | Leetcode 600+ | HIT CSE'25 👋,117,259,368
aagneyesyam,Aagneye,Lining of my skin won't spell a word,29,121,165
AadhavanGreen,Aadhavan Green Energy Solutions,"We are a Leading SOLAR EPC COMPANY ..We Design, Procure , Install and Commissioning the Green Energy Power Plants",15,215,4
aravindhanav357,Aravindhan,Just live the moment ✌✌,1,86,2
MathanR35970188,Mathan _Raj,I'm mathan raj. I like robotics,1,108,12
PUdayamani,Udaya Mani Pedada,"I'm a student at GMR IT and NxtWave’s CCBP 4.0 Academy | Knows Python, Front End Development | Looking for internships",230,37,36
MrVip_984,Nagaraju Boyapally 🌐,Darling 💓,125,724,1816
im_zor06,RORONOA|ZORO✌️🎖️,"|crypto enthusiast| |love blockchain| |@hasukinfts,@nfthook1,@TRAVELERS_ln,@cripticdao,@desuilabs| 🇮🇳 still beginning phase of coding ✌️🧊",1063,4482,17303
bavishnu22,Bavishnu,🇩​🇴​ 🇧​🇮​🇬​✌️ 🇧​🇪​ 🇧​🇦​🇩​🥵,2,33,2
0armaan025,Armaan,Learning Computer Science | Development and Hackathons,22,42,67
praveen_958,Praveen Chouhan🇮🇳👨‍💻,"Learning Data Structures and Algorithms 👨‍💻
Soo eager to share my journey with you.",6,199,29
aprata_sona27,APRATA SONA,,0,26,2
VishnuSanalT,Vishnu Sanal T,You're Awesome :),35,286,4
BharatiyaB56456,Bimal Pattnaik,"Strength is life,weakness is death.
Koraput district special reporter Focus Plus",244,1559,52
Sriram_31_,Sriram,✌,6,255,30
shubhamkumar029,Shubham Kumar,Problem-Solving Software Engineer 👨🏻‍💻 | 🌐 Web Developer | WordPress Specialist 🔧 - Fixing WordPress Bugs with Expertise 🚀 | Creative Graphic Designer 🎨,28,68,0
YadavNikhil093,NIKHIL YADAV,,0,8,1
YashCha14896229,Yash Chaudhary,Yash Chaudhari,8,529,30
Prashant20202,Prashant2020,"Senior Reporter @DainikBhaskar,@IIMC - India",210,2070,312
Am306166Mishra,Abhishek Mishra,,0,73,1
Surajj91,Suraj Choudhary,,6,148,6
SivamSanka34542,sankar sivam,,0,14,0
GudapuRamu,Ramu Gudapu,,1,33,16
Suraj74858404,SURAJ,Void,15,279,455
Moin_Hossain26,Moin Hossain,,2,11,3
x_just39953,JUST CALL ME X,,0,4,1
mbhatte1,Manmath🇮🇳,"🇮🇳Nation First.

| Navodayan💙",42,2411,268
ritikakhurana41,Ritika Khurana,kyu Janna h bhai ?,1,60,61
Praveenp1P,17-PRAVEEN P,,4,69,4
suju_tadadikar,SUJIT TADADIKAR,"Pillaite🤘❤️ 
Alma Mater @pillaicollege
👨🏻‍💻 Engineer by Profession | 👨‍🍳Cook by Passion🔥❤️
#Computer_Science_Engineering_Grad👨‍🎓🤟
#Goan😍
#Mumbaikar😎",76,1179,494
Selvaku75699269,Selvakumar S,Academician and Researcher (Finding Sustainable Solutions for Transportation Infrastructure Problems),11,308,50
vikaskr_07,Vikas,,72,151,4046
Divine_Angel999,Shravni,Accepting The Reality 🍀🍀,217,238,4325
IIC_CIT_Chennai,"Chennai Institute of Technology, Chennai","Chennai Institute of Technology is an Industry-connected autonomous Institute, and is a co-educational engineering college located at Kundrathur, Chennai",7,17,28
UshreeDas,Ushree Das,,0,28,10
Periyas54890391,Periyasamy P,"STEM & ICT Educator. #Flipgrid Certified Educator, @MIE, @Skype Master, #Minecraft Trainer, #STEM learning, #Kahoot, #WakeletWave",34,163,25
lam_phani,Phani sai Lam,,0,5,2
RosalinaFe9832,ScrollUnlock,"Goal is to make things secure.

https://t.co/opilbe7Rwu

https://t.co/1diWKpLblI",23,169,903
Yashi84434249,Yashi,,79,429,7726
yashkadole007,Yash Kadole,machine learning | writing down my thoughts,46,1782,397
mohitvdx,Mohit Verma,Web3 🚀| DeFi,29,92,172
Arivazhagan1011,Arivu Alagan,😎😎😎,1,89,0
anvaymajhrout22,Anvay Majhrout,,2,32,9
linardur,Rudranil Bhattacharjee,Student📚 | Content Creator🤳 | Developer👨‍💻 | Anime🗿 | Shorts🎞️ | Gym💪,18,112,236
tejus3131,Tejus Gupta,An enthusiastic programmer.,0,1,6
VikashSinghKu19,VIKASH KUMAR SINGH,Student CSE(IOT) at BCE Bakhtiyarpur,2,118,8
mai3dalvi,mai3,19 • life is both fun and fcked • Engineering🎓 • Coding🫧 • momo & meme lover,701,346,1915
AyushDe48741537,Ayush Deep,,4,203,73
SihGecv,SIH Internal Hackathon GECV,"Official account for Internal Hackathon Government Engineering College Vaishali.
Register here: https://t.co/IWgk0vlGF7",10,3,2
SanskarBhardw18,Sanskar Bhardwaj,,10,72,51
FaizanD02322232,Faizan Deshmukh,,0,4,0
A_MOHAMED_PhD,MOHAMED ASHIC ILAKI A,"ʟᴏᴠᴀʙʟᴇ ᴏꜰ #allah ❤️
ɪ ꜰᴏʟʟᴏᴡ ᴏꜰ #mohammadﷺ
ɪ ʟɪᴋᴇ #ꜱᴩᴀᴄᴇ 
ɪ ʟᴏᴠᴇ ᴏꜰ #ᴇᴅᴜᴄᴀᴛɪᴏɴ ᴀɴᴅ #ꜱᴄɪᴇɴᴄᴇ
 Matrix 👾",13,232,1
mishba_bagban,Misbah Bagban,"CSE Student | learning JavaScript | Technical writer @hashnode | Open-source entusiastic

My Brain has too many tabs open.",313,288,2327
parichay_gg,Parichay,"🇮🇳/ 18
Esports, AI/ML, Startups",248,1052,5216
Kushwaha_2004,Aman Kushwaha,"TALK LESS🤫🤫
THINK MORE 🤌🤌",0,12,7
AdarshS86442028,Adarsh Parihar,BTECH CS STUDENT AT ITM UNIVERSITY GWALIOR,0,42,8
liza_bhutani,Liza,18 || Cloud facilitator @gdscbvppune|| Cloud lead @gdscbvppune|| Building team @OreoDroiders || Postman student expert,86,161,65
ArcticLangoor,ArcticLangoor 𓃠,"18, trembling mīdwit, web developer + ēngineering",33,264,356
alaismital,Smital,,3,47,0
DevGasian,Swayam Karle | devswayam.lens,"Smart Contract Developer/ Researcher | 
Advocate @graphprotocol |
GDSC Associate Lead @GdscL81504 |
Fellow #TezosBuildercamp 
| Fellow Cairo @starknet",121,308,320
Abhiram6899910,Abhiram,,11,113,5
Hari15842705,Hari,,8,194,41
SHAHTIRTH2003,TIRTH SHAH,"It's never too late to start over, never too late to be happy...",17,97,12
Saklani1_,Shivam Saklani,,1,72,4
jmc_iic,IIC JMC,IICJMC,8,17,68
SonuGup46022700,Sonu Gupta™✨❤️,Don't wait the perfect moment😊😊...take the moment And make it perfect.✌😉,28,91,1048
chanduuu3333,J. Chandra shekar,,1,24,0
etarious,Etaoghene Chimaobi Ojameruaye,"I am a web programmer, with interest in learning and teaching/training tech skills. I love creativity and building.",19,202,4
bugbreaker18,Shreyansh Shukla,CSE Undergrad'25 || ML/DS Enthusiast || Looking to connect with kindred spirits || Sharing my experiences,49,173,135
harshamaddur,Harsha,"Interested in emerging technologies, Startup enthusiast, Frugal Manager, Jack of all",230,2449,450
vishishtindia,Vishisht Kapoor🪐,Reactjs🚀 || REDUX⚡|| Coreldraw🎨 || BE'25🎯,116,323,311
Abhinav47125511,its.(fun)(key),"pursuing engineering, bharadwaj Brahman, indian, football lover, animal lover, single, proud sanatani, ex-kvian, like memes😂",176,3033,560
HridayLearns,Hriday Ghosh,Student of Life | Exploring new frontiers | Constantly learning and growing | Seeking knowledge and adventure,5,98,0
abz4375,Ayush Srivastava,IIITDMJ CSE'25,31,337,79
dampdigits,Sameer ( سمير ) 🍃,"Software programmer 👨🏻‍💻 | Kabhi kabhi 🎨
Send me programming memes  :)
Mostly shit-posting on X",40,131,612
VikramC35197040,Vikram Choudhary,Engg Undergraduate || Learning Java & DSA,11,364,276
tecnical_nitish,0xnitish,"Ex-Founding  Engineer @0x_hashmail |  @AlchemyLearn
| Google DSE Lead '22 @gdscnmit #infosec",134,186,697
NcPedia,NC,Tech enthusiast | Web dev | AI | ML |  Youtube @ncpedia| Novice editor |Cinephile | Seeking guidance to excel in Programming and Acquire skills,11,347,117
dhruvv__005,Dhruv Gupta,,0,10,1
AkshayPSingh09,Akshay Pratap SIngh,"Its common, Even I cant understand Myself 👌🔥
Web Learner , ML Enthu()  CSE'25",11,191,326
DavisNiranjan,Davis_niranjan_j,"Youtuber


FLIM REVIEWER 
REACTION VIDEO MAKER 
I CALL MYSELF A YOUTUBER 
THALAPATHY VERIYAN",3,18,44
Shouryafreakin,Shourya Gupta,(CSE’26)  Flutter developer💙,42,520,123
sanapshreya15,Shreya,The sole reason of me creating a twitter A/C was to join #100daysofcoding so that I could be consistent. Ps: I am a noob coder so pls don't judge:),34,51,101
jayanzth,Jayanth Kumar⚡,Beta MLSA | Postman Student Expert | Technical Writer,9,255,90
RGandla96462,Rahul Gandla,He/Him,5,49,2
MohitB_twt,Mohit Bisht,"Devops | Open source & Cloud ☁️ enthusiast 🚀 | Contributing @girlscriptsoc, #SSOC | Web dev | Technical Marketing @decodecafe | #100Dev",207,524,571
SucharithaB2,Suchi✨,"Don't kill your friends kids !
chemical engineer...
Young socialist...🚩
tired...",40,553,14
NagababuAkula23,Nagababu Akula,,0,5,0
Vishal_Kuwar07,VISHAL KUWAR,,3,17,3
poojitha9797,Avengerfan_07,planet earth🌎,2,41,14
Utsav_0305,UTSAV GANDHI,,0,17,6
nabin_yd,Nabin Yadav,"Electronics, Communication and Information engineer By Passion",1,5,2
j7693551,abc,,6,135,0
the_onlyjunaid,Junaid,20 | Filled with Random Skills,3,30,31
DeviBhavani26,Devi Bhavani Annapareddy,,2,7,0
upsid_39,Siddhant Khobragade,,0,28,0
JatinKu0858283,Jatin Kumar,,0,53,0
sloki1174,L O K E S H,19 || DSA || Java || Web development || IT'26 || #100DaysofCode || 🧑‍💻,106,518,177
immidikali,kali pradeep immidi,"Assistant Professor
CSE Dept
Vishnu institute of technology",37,22,12
Surya2825,Suryansh Srivastava,,4,10,0
shenlong027,Ayush,19 🚶‍♂️ | Full Stack Developer 👨‍💻 | Open Source 🍷| Esports ( Queso Cup 2022 )🎮| MLSC Member 💿| Humour and Sarcasm 🦭 | #100DaysOfCode,216,356,103
C_haitanyaSingh,Chaitanya Singh Rathore,"📚https://t.co/J3zLDwpqND Student💻
📎GGV Bilapur📌
🔗https://t.co/o3OiQHXwvK…",13,9,30
JeetKarkar,Jeet Karkar,"#jnv_student 
#navodayan
#gecrajkot",29,67,24
barmendu,Barmendu Chakraborty,"Tech and Coding Enthusiast, Gamer.",12,107,158
_priyanshu_2003,Priyanshu K Chaudhary ✨,"Reader, Writer,Thinker.
Mathematics Expert @chegg @chegg_india",79,172,2860
__D_a_v_i_s__,ۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗۗSky Matthew,idk how to use this app ;/,12,129,502
manoj14404,Manoj Kumar. M,,0,48,0
iam_TahaShaikh,Shaikh Taha Inayat,"A student👨🏼‍🎓,lives in self compassion 🤙🏻",12,86,227
VedantJ98807189,Vedant Jadhav,#stoic,47,417,131
rao_khadam,Vinay Kumar Rao Khadam,,1,69,0
chiragchandra25,Chirag Ramesh Chandra AKA that_lame.one,"Google DSC Core Team @dscabesit Learning Flutter & App development ||
Here to Learn 📚, Share✌️& Fun discussions😃

https://t.co/aZRJwUfyU6",28,67,81
Ujjwal_jain91,ujjwal jain,,9,35,212
JashwanthChow19,Jashwanth Chowdary,,0,3,1
smilingwillows,Daphne sherine,,2,8,32
Vaidik31,Vaidik Patel,,6,20,8
daud0x0,Md Daud,...,110,345,760
Vedanti_U,Vedanti U,Undergrad | Tech | Coding | Books | Life,116,301,347
KabilanSelvaku2,kabilan s,,36,205,492
VinayakGharge3,Vinayak Gharge,"2nd yr | CSE | Front-End Developer | Fellow at CCBP 4.0 Academy
I'm now studying full-stack development with an emphasis on 4.0 technologies (AI/ML).",3,26,1
navaneethstwt,Navaneeth Rao,"Full Stack / Android / Bug Bounty

#LearningInPublic",25,239,435
Rimalisaac,Rimal Isaac,Academician,209,574,511
_kumarjaihind,ABHISHEK KUMAR,"20'Proud to be Indian 🇮🇳|Self growth📈|Learning👨‍🎓 new things|Using media power:
Sharing whatever I am going through🤗:
Follow for follow back 😌...DMs open",329,582,2418
Unnati_Thakre,Unnati Thakre,Genius is 1% talent 99% hardwork 🔥,10,114,8
ManishYadhuvan6,Manish Yadhuvanshi,.....!!,25,218,106
Ayan_joshi_,Ayan joshi,,17,70,86
KousickkrishnaS,Kousickkrishna. S,,2,31,0
Mr_SumitKrDas,Sumit Kumar Das,Software Developer | Problem Solver | Debugger | Let's build together,27,203,42
RaghvendSharma,Raghvendra Sharma,,10,148,11
p_samyakta,Samyakta P,,1,11,11
KISHOREKUM76979,KISHOREKUMAR PANDIAN,,0,3,0
Sanchitagrawala,Sanchit Agrawal,"Aspiring ML Engineer with a passion for Opensource, Cloud Computing, Quantitative Finance, DevOps, and Micro SaaS.
|learn in public|",32,597,500
Shirishsinghh,Shirish Singh,Loves to CODE !!,2,8,0
BalajiR6898,Balaji,,2,32,3
ksrohit25,Rohit Ks,,0,18,0
nidhimudgill,Nidhi Mudgill,"👮‍♀️ Senior Copy Editor @Republic
📡 Producer @Mhonenews 
 #Ministry of Health 

✈️Traveller| 📰Journalist |🧘‍♀️",254,466,416
goutham025,Goutham Kumar,"Problem Solving • DSA
• Java • Learning in public 🌍 • Building Communities💡",28,32,68
bajrangbrc,Bajrang Choudhary🐣,UIET'26 || Flutter Enthusiast || Graphic Designing.,12,101,57
AmlanDu33765481,AmlanDutta,College student,14,223,14
MannaSubharghya,Subharghya Manna,,1,61,17
siifuptti,Startup Incubation & Innovation Foundation UPTTI,,24,198,58
Lallantop321,Ashish,,0,9,0
shtpraghav,Raghav,programmingRookie | 18 | C++ | CSE'26 | DSA | Open source enthusiast | Learning web dev,204,297,835
rohitve37088127,@i am rohit verma,"i am a student of  https://t.co/Nsd0CYlhSQ(2nd year)  and have much more enthusiast about AI(Artificial Intelligence) and Neuralink.............(●'◡'●)
(●'◡'●)",9,399,29
arunach70931323,arunachalam k,Coder⚡fullstack developer🌟 content writer ✍️ UI/UX designer🌟AI🤖,19,124,41
saumyajeet_6103,Saumyajeetsinh Vaghela,,80,155,79
Satyacasm,Satyam Tripathi,IIITV '25,224,472,980
_Crazy_Cathode_,ELAKIYA SEKAR,"Being the best version of myself____❤💯
19",8,9,2
yash__dev,Yash suthar,full-stack MERN developer | learning devOps 📚 |,113,271,390
Nishitbaria1,Nishit Baria ⚡,🥑 Open-Source Advocate | 🚩 Vice-lead at @gdsckpgu and 🔨 Building @TheCodeTheory | 👨‍💻 Full Stack Developer | 🏆 4x Hackathon Winner | 🌟 #1 GSSoC Contribut,174,401,715
milan083821,Milan Singh,Attendant at Delhi University,13,153,7
35_rajeev,Rajeev Kumar,"Learner | Web Developer 👨‍💻 | Blockchain 🔗 | DSA (C++)

Every day brings an opportunity to do something legendary.",13,56,63
mr_harshtyagi,Harsh Tyagi,Building Future Web @0xAlphaDevs • Web3 & DeFi Developer • Final year @bitspilanigoa,34,274,253
official65487,My Official,,3,69,3
bagaria_raj23,Raj Bagaria,ISE Undergrad '24 • MERN Developer • Aspiring Blockchain developer • Electhon'23 Finalist • erevald @_buildspace • learner @AlchemyLearn,86,343,747
Bikash_Santra03,Bikash Santra,"Bikash Santra.
Student of https://t.co/4O79plspOe in Computer Science Engineering and Technology",6,138,27
US_Khokhar,USK,10x HTML5 DEVELOPER,34,132,502
simranyadav464,SIMRAN YADAV,"Love,Peace,Happiness",0,25,0
anshsaxena1703,Ansh Saxena,Web Development | Competitive Programming | DSA,5,27,1
Divvstwt,Divv Saxena,Open Source Enthusiast • Exploring Web Dev • Java☕ and python🐍  ••,477,918,1717
Jain13Namya,Namya,"Flutter Developer | 2nd Runner up Hack4Change | Best Sustainability Hack@MLHacks | Best Mobile Hack@MLHacks |Top 25 Contributor@Autumn of Code,IGDTUW",247,351,124
vaa3,Vinay Śarma:,"Bharateeyan,believes in Akhanda Bharat, interested in geopolitics, science and Indic studies.  Carnatic Music Rasika!",219,1329,19402
SanketD43677804,Sanket Deshmukh,,13,17,13
srohit1011,rohit Salla,constantly thinking about ML algorithms,49,1574,751
sohan__2002,Sohan Veeravalli,,0,13,0
AtharvM46335572,Atharv-More ;),"aaaah I am not gonna
 discribe myself in few
 word ya understand........",9,595,111
MhalsankAryan,Aryan Mhalsank,,1,10,0
jethwa_smit,Smit Jethwa,"Engineering @_DigitalIndia | Backend | Bots |  BG A+ 🩸 
 | #NeverStopLearning 😇🚀",626,484,3257
Lakshmangamers,LAKSHMAN GAMERS OFFICIAL,,6,84,18
the_shashwat11,Shashwat Singh,,27,822,32
sidvid_,Siddhant AK,"18 . cs UG ,,,.",20,33,1
Aman__gautam_06,AMAN GAUTAM,JUST BELIEVE IN YOURSELF EVERYTHING IS ACHIEVABLE,3,67,4
Kartikey____,hkartik_pandey,Science Technology and Engineering,4,47,34
jinxkernel,Jinxkernel,,36,917,250
Nobody_crypto_H,Harmeet Singh,Interested in Blockchain NFT Solidity Ethereum Solana Rust WEB 3 Web Development Cryptomining,19,133,120
rudransh190204,Rudransh shinghal,"web developer and web3 developer |member @cipher_lnmiit
| member @DaoDeepverse|Early contributer @shastraos| ready to collab",171,454,227
VedantKale08,Vedant Kale,"Passionate about continuous learning, exploring new coding languages, and diving into the world of programming. 🚀 Let's code and create together!",17,61,3
ProgyaanB14035,Subhajit Mridha,Btech in Information technology student in FIEM,4,66,1
techyrushabh,Techy Rushabh,"Coding, Roadmap, Solutions, Projects and more...",1,27,6
explore_withj,Jyoti,,2,49,1
Vikash_4355,Vikash Kumar,Java | React.js | Node.js | JavaScript | MongoDB | Express.js | MERN stack Developer | NIT Jalandhar | Open Source Contributer,904,696,740
ROHITSALI09,Rohit Sali,geopolitical strategiest || helping people to know well || To know the truth || curious/conscious about everything.,27,199,247
DakshMakhija_,Daksh Makhija,"Co-Lead @gdscgtbit |
Ex-Web Dev Intern @AbhyazLearning and @BCG | 
Interested in software engineering and development roles | 
Learning something new everyday.",126,152,443
4936f6fd7286499,Sugavanesh v,Life's state,165,2114,35
Janakiram347,M Janakiramudu,,3,107,1
ayushjrathod0,Ayush Rathod,,7,15,5
RudrakshJoshi14,Rudraksh Joshi🦇,"Exploring and sharing insights on Rust(my pet crab),Docker,K8s,Blockchain,VR,AR👨‍💻  | 

Sophomore @SVNIT,Surat 

DMs open for all",20,120,437
PavanBR18,Pãvāñ ẞ R,"Empowering minds, molding futures; AI's boundless horizons await!",2,83,2
bc786141,3.94E+11,Express and record,40,455,162
NoOne69188696,NoOne,,0,121,0
michael81738834,Arvind kumar,,10,252,2
Tushar_574,TUSHAR DESHMUKH,,2,16,0
GroverKrishiv,Krishiv Grover,18|,12,163,20
dp0x01,Devansh Patel,Cyber Security Enthusiastic,21,588,12
karulvela,Dr. Vadivelan Kanniappan,"Professor in Physiotherapy working at SRM, over Eighteen years of experience, I have excelled at the pinnacle of my profession as a Pediatric Physiotherapist.",14,61,1
serma_002,Sermalingam T,"@ End of the day what you have in your mind is your future
|'Dream Big Achieve Big'|",12,122,12
Sanika391,Sanika Chavan,,17,132,31
speedupedu,Speed Up Education Network,"Study in India
Ph. No.:- +977-01-5153414 Mob:- 9851110419",67,184,145
ashwinjikumar,Ashwin kumar,Researcher,62,150,231
_ritishaa__,Ritisha Shaw,A happy soul ❤ || Python 🐍|| AI/ML 🤖 || CSE'27 || 18🐣,56,93,159
Anirudhdha46505,Anirudhdhasinh Chavda,,267,5000,0
SinghBarjit123,barjit123 Singh,,46,355,41
DhruvJohri_,Dhruv Johri,coding enthusiasts 😎🧑‍💻,17,408,0
